id,is_multi_variants,taxes_id,supplier_taxes_id
product.template_V269112,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269113,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269131,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C269142,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269199,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269200,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269201,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269203,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269204,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269205,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269206,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269207,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269208,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269209,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269214,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269215,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269216,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269223,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269251,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269252,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269253,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269254,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269261,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269262,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269263,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269270,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269271,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269272,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269273,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269326,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269327,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269328,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269501,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269532,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V269533,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272001,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272003,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272201,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272206,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272207,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272208,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272230,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272235,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272240,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272245,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272355,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272356,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
