id,name,dimension_id/id,sequence,code
davidts.product_variant_dimension_option_noir+violet,noir+violet,davidts.product_variant_dimension_type_couleur,69,69A
davidts.product_variant_dimension_option_noir+bronze,noir+bronze,davidts.product_variant_dimension_type_couleur,71,71A
davidts.product_variant_dimension_option_vernis_blanc,vernis_blanc,davidts.product_variant_dimension_type_couleur,72,72A
davidts.product_variant_dimension_option_noir+jaune,noir+jaune,davidts.product_variant_dimension_type_couleur,73,73A
davidts.product_variant_dimension_option_vert+ocre,vert+ocre,davidts.product_variant_dimension_type_couleur,74,74A
davidts.product_variant_dimension_option_noir+vert+bordeaux,noir+vert+bordeaux,davidts.product_variant_dimension_type_couleur,75,75A
davidts.product_variant_dimension_option_noir+bleu,noir+bleu,davidts.product_variant_dimension_type_couleur,76,76A
davidts.product_variant_dimension_option_noir+vert,noir+vert,davidts.product_variant_dimension_type_couleur,77,77A
davidts.product_variant_dimension_option_noir+doré,noir+doré,davidts.product_variant_dimension_type_couleur,78,78A
davidts.product_variant_dimension_option_noir+orange,noir+orange,davidts.product_variant_dimension_type_couleur,79,79A
davidts.product_variant_dimension_option_multic_noir,multic_noir,davidts.product_variant_dimension_type_couleur,81,81A
davidts.product_variant_dimension_option_multic_Bdx,multic_Bdx,davidts.product_variant_dimension_type_couleur,82,82A
davidts.product_variant_dimension_option_noir+blanc,noir+blanc,davidts.product_variant_dimension_type_couleur,83,83A
davidts.product_variant_dimension_option_rouge_brillant,rouge_brillant,davidts.product_variant_dimension_type_couleur,84,84A
davidts.product_variant_dimension_option_menthol,menthol,davidts.product_variant_dimension_type_couleur,85,85A
davidts.product_variant_dimension_option_multic_cognac,multic_cognac,davidts.product_variant_dimension_type_couleur,86,86A
davidts.product_variant_dimension_option_multic_Brun,multic_Brun,davidts.product_variant_dimension_type_couleur,87,87A
