id,name,city,bic,country
res.bank_BSCHBEBBBLX,SANTANDER BENELUX SA,BRUSSELS,BSCHBEBBBLX,BE
res.bank_SCCPBEBB,SCAÊCAPITALÊNV,DIEGEM,SCCPBEBB,BE
res.bank_SGPBBE99,SGÊPRIVATE BANKINGÊBELGIUM,GENT,SGPBBE99,BE
res.bank_SHIZBEBB,SHIZUOKA BANK (EUROPE) S.A.,BRUSSELS,SHIZBEBB,BE
res.bank_SGABBEB2,SOCIETE GENERALE (BELGIAN HEAD OFFICE),BRUSSELS,SGABBEB2,BE
res.bank_SGABBEB2BRU,SOCIETE GENERALE (BELGIAN HEAD OFFICE),BRUSSELS,SGABBEB2BRU,BE
res.bank_SGABBEB2TRA,SOCIETE GENERALE (BELGIAN HEAD OFFICE),BRUSSELS,SGABBEB2TRA,BE
res.bank_SSIABEBB,SOLUTIA SERVICES INTERNATIONAL SCA,BRUSSELS,SSIABEBB,BE
res.bank_SOLVBEBB,SOLVAY CICC S.A,BRUSSELS,SOLVBEBB,BE
res.bank_SBINBE2X,STATE BANK OF INDIA,ANTWERPEN,SBINBE2X,BE
res.bank_SMBCBEBBGEB,SUMITOMO MITSUI BANKING CORPORATION,BRUSSELS,SMBCBEBBGEB,BE
res.bank_SMBCBEBB,SUMITOMO MITSUI BANKING CORPORATION,BRUSSELS,SMBCBEBB,BE
res.bank_SWHQBECACIO,SWIFT HEADQUARTERS,BRUSSELS,SWHQBECACIO,BE
res.bank_SWHTBEBBAC1,SWIFT HEADQUARTERS,BRUSSELS,SWHTBEBBAC1,BE
res.bank_SWHTBEBBAC2,SWIFT HEADQUARTERS,BRUSSELS,SWHTBEBBAC2,BE
res.bank_SWHTBEBBAC3,SWIFT HEADQUARTERS,BRUSSELS,SWHTBEBBAC3,BE
res.bank_SWHQBEBBADS,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBADS,BE
res.bank_SWHQBEBBBCT,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBBCT,BE
res.bank_SWHQBEBBEVE,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBEVE,BE
res.bank_SWHQBEBBBIL,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBBIL,BE
res.bank_SWHQBECAENC,SWIFT HEADQUARTERS,LA HULPE,SWHQBECAENC,BE
res.bank_SWHQBEBBE2E,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBE2E,BE
res.bank_SWHQBEBBFIN,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBFIN,BE
res.bank_SWHQBEBBGMT,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBGMT,BE
res.bank_SWHQBEBBTSD,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBTSD,BE
res.bank_SWHQBEBBMKT,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBMKT,BE
res.bank_SWHQBEBBMEM,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBMEM,BE
res.bank_SWHQBEBBPRM,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBPRM,BE
res.bank_SWHQBEBBQED,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBQED,BE
res.bank_SWHQBECACMC,SWIFT HEADQUARTERS,LA HULPE,SWHQBECACMC,BE
res.bank_SWHQBECACKC,SWIFT HEADQUARTERS,LA HULPE,SWHQBECACKC,BE
res.bank_SWHQBEBBTTT,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBTTT,BE
res.bank_SWHQBEBBSAL,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBSAL,BE
res.bank_SWHQBEBBSHR,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBSHR,BE
res.bank_SWHQBEBBSTD,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBSTD,BE
res.bank_SWHQBEBBLOG,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBLOG,BE
res.bank_SWHQBEBBEDU,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBEDU,BE
res.bank_SWHQBEBBSNF,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBSNF,BE
res.bank_SWHQBEBBTLC,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBTLC,BE
res.bank_SWHQBEBB,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBB,BE
res.bank_SWHQBEBB111,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBB111,BE
res.bank_SWHQBEBBREF,SWIFT HEADQUARTERS,LA HULPE,SWHQBEBBREF,BE
res.bank_SWHTBEBB,SWIFT HEADQUARTERS,LA HULPE,SWHTBEBB,BE
res.bank_MMMVBEBB,TESSENDERLO CHEMIE NV,BRUSSELS,MMMVBEBB,BE
res.bank_BNYMBEBBFND,THE BANK OF NEW YORK MELLON BRUSSELS BRANCH,BRUSSELS,BNYMBEBBFND,BE
res.bank_BNYMBEBB,THE BANK OF NEW YORK MELLON BRUSSELS BRANCH,BRUSSELS,BNYMBEBB,BE
res.bank_IRVTBEBBADM,THE BANK OF NEW YORK MELLON SA/NV,BRUSSELS,IRVTBEBBADM,BE
res.bank_IRVTBEBBBKR,THE BANK OF NEW YORK MELLON SA/NV,BRUSSELS,IRVTBEBBBKR,BE
res.bank_IRVTBEBBGSS,THE BANK OF NEW YORK MELLON SA/NV,BRUSSELS,IRVTBEBBGSS,BE
res.bank_IRVTBEBBIMC,THE BANK OF NEW YORK MELLON SA/NV,BRUSSELS,IRVTBEBBIMC,BE
res.bank_IRVTBEBB,THE BANK OF NEW YORK MELLON SA/NV,BRUSSELS,IRVTBEBB,BE
res.bank_IRVTBEBBBSK,THE BANK OF NEW YORK MELLON SA/NV,BRUSSELS,IRVTBEBBBSK,BE
res.bank_ABNABEBR,THE ROYAL BANK OF SCOTLAND PLC BELGIUM (FORMERLY KNOWN AS RBS NV),BRUSSELS,ABNABEBR,BE
res.bank_TRIOBEBB,TRIODOS BANK,BRUSSELS,TRIOBEBB,BE
res.bank_UBSWBEBB,UBS BELGIUM SA/NV,BRUSSELS,UBSWBEBB,BE
res.bank_UTWBBEBB,UNITED TAIWAN BANK S.A.,BRUSSELS,UTWBBEBB,BE
res.bank_VDSPBE22,VDK SPAARBANK NV,GENT,VDSPBE22,BE
res.bank_VFCOBE2B,VF EUROPE BVBA,BORNEM,VFCOBE2B,BE
res.bank_VWAGBEBB,VOLKSWAGEN GROUP SERVICES SA/NV,BRUSSELS,VWAGBEBB,BE
res.bank_WPPGBEBB,WPP GROUP SERVICES SNC,BRUSSELS,WPPGBEBB,BE
res.bank_ZOETBEBB,ZOETIS TREASURY CENTER BVBA FINANCIAL DEPARTMENT,ZAVENTEM,ZOETBEBB,BE
res.bank_INGBFRPP,"ING BELGIUM S.A., SUCCURSALE EN FRANCE",PARIS,INGBFRPP,FR
res.bank_INGBGB22,"ING BANK N.V., LONDON BRANCH",LONDON,INGBGB22,GB
