id,name
davidts.metier_Affaires,Affaires
davidts.metier_Bijoux,Bijoux
davidts.metier_Caddies,Caddies
davidts.metier_Garniturebureau,Garniture bureau
davidts.metier_Manucure,Manucure
davidts.metier_Shopping,Shopping
davidts.metier_Voyage,Voyage
davidts.metier_Projets,Projets
